lon,lat,psi,u,v,r,id
-73.9577,40.5259,1.36768e-08,3,-0.000251277,-1.06605e-07,4190
-73.958,40.5252,-0.523599,3,0.00538147,1.61045e-07,4189
-73.9499,40.5306,-0.523599,3,0.000251301,1.0896e-07,4187
-73.9509,40.5292,-0.523599,3,0.000251619,2.64526e-07,4181
-73.9673,40.5411,2.61799,3,-0.00538171,-6.7259e-08,5535
-73.9623,40.5465,2.0944,3,-0.00538189,-1.55473e-07,4176
-73.939,40.5404,0.523599,3,-0.00538198,-1.99625e-07,4170
-73.9327,40.5423,-4.11232e-07,3,0.00538199,2.04137e-07,5173
-73.9467,40.5349,-0.523599,3,0.000251131,2.61667e-08,4163
-73.9634,40.5222,-0.523599,3,1.24198e-05,6.40918e-08,4148
-73.9641,40.5216,-1.0472,3,0.0053817,6.20473e-08,4147
-73.9472,40.5306,-0.523599,3,0.00538202,2.20875e-07,5497
-73.9446,40.5339,-0.523599,3,0.000251374,1.37972e-07,4143
-73.9591,40.5238,-0.523599,3,0.000251194,5.44535e-08,4137
-73.9425,40.5367,-0.523599,3,0.000251438,1.69128e-07,4134
-73.9559,40.528,-0.523599,3,0.000251268,9.05174e-08,4131
-73.9434,40.5391,-0.523599,3,0.000251121,2.13017e-08,4128
-73.9522,40.5281,-1.36996e-07,3,1.66344e-07,7.84435e-08,5632
-73.9576,40.5484,1.5708,3,-3.76267e-07,-1.8032e-07,4116
-73.9565,40.5253,-2.16126e-07,3,6.78828e-07,3.29912e-07,4105
-73.9567,40.5246,-0.523599,3,0.00538207,2.43988e-07,4104
-73.9315,40.5419,-5.0871e-07,3,0.000251171,4.31864e-08,4898
-73.9715,40.536,2.61799,3,-0.00538199,-3.23456e-08,4100
-73.939,40.5389,-0.523599,3,0.00538203,2.27389e-07,4168
-73.9708,40.5365,2.0944,3,-0.000251171,-4.31086e-08,4099
-73.9459,40.5518,2.0944,3,-0.00538195,-1.86381e-07,4097
-73.9299,40.5435,-5.44162e-07,3,0.00538202,2.20428e-07,4502
-73.945,40.552,1.5708,3,-2.98566e-07,-1.43155e-07,4096
-73.9557,40.5492,1.5708,3,-1.17491e-07,-5.35767e-08,4093
-73.9651,40.5427,2.61799,3,-0.00538199,-3.24026e-08,4091
-73.9644,40.5433,2.0944,3,-0.000251138,-2.71159e-08,4090
-73.9414,40.5381,-0.523599,3,0.000251894,3.91712e-07,4087
-73.9495,40.5327,-1.0472,3,0.00538171,6.78739e-08,5601
